Tour Name,Type,Rating,Number of reviews,Price,Duration
224. Hopping to members only bars & finding special Japanese whiskey in Tokyo!,Food & Drink,5.0 of 5 bubbles,1,$362.00,2–3 hours
225. Private Ginza Architecture Walking Tour,Architecture Tours,1.0 of 5 bubbles,1,$152.04,3 hours
226. Tokyo Food & Culture Full-Day Private Tour with Government-Licensed Guide,City Tours,5.0 of 5 bubbles,17,$868.79,6 hours
227. Full Day Hiking Tour at Mt.Takao including Hot Spring,Hiking Tours,5.0 of 5 bubbles,2,$347.52,5–6 hours
"228. Tokyo 6 hour Tour : English Speaking Driver Only, No guide",Bus Tours,5.0 of 5 bubbles,4,$72.00,6 hours
229. Tokyo Off the Beaten Path Full-Day Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,32,$16.09,6 hours
"230. Tokyo Tour, from/to, Yokohama City, Tokyo City and TDR Area",Bus Tours,5.0 of 5 bubbles,19,$62.26,7–8 hours
231. Samurai Armor Photo Shoot in Shibuya,Rail Tours,5.0 of 5 bubbles,2,$125.90,2 hours
232. TOKYO Oishi Park & Oshinohakkai & Koedo Kawagoe & Fuji Mouontain,Full-day Tours,5.0 of 5 bubbles,3,$86.88,6+ hours
233. Unlimited WiFi Router - Haneda Airport T3 (Tokyo) Pickup,Rentals,4.5 of 5 bubbles,116,$21.72,3–30 days
234. Kintsugi Experience in Tokyo,Pottery Classes,5.0 of 5 bubbles,17,$313.91,1 hour
235. Traditional Japanese Cooking Class at Mayuko's Home in Tokyo,Food & Drink,5.0 of 5 bubbles,2,$450.00,3 hours
236. Hakone Day Tour with Lake Ashi cruise and Ohwakudani,Boat Tours,5.0 of 5 bubbles,68,$66.61,6+ hours
237. Japanese calligraphy & making an original folding fan workshop!,Craft Classes,3.5 of 5 bubbles,3,$224.44,3 hours
238. Tokyo Layover Tour with a Local: Private and Tailored to Your Needs,City Tours,5.0 of 5 bubbles,10,$118.01,6–8 hours
239. Fukushima Daiichi Nuclear Power Plant visit 2 day tour from Tokyo,Bus Tours,5.0 of 5 bubbles,5,$107.51,2 days
240. Enjoy plus size Kimono,Art Classes,5.0 of 5 bubbles,3,$209.28,3 hours
241. Tsukiji Outer Market and Sushi Making Private Tour,Food & Drink,4.5 of 5 bubbles,23,$101.36,5 hours
242.  Nikko Scenic Spots and UNESCO Shrine - Full Day Bus Tour from Tokyo,Bus Tours,4.0 of 5 bubbles,2,$63.71,6+ hours
243. Photoshoot with Professional Photographer in Tokyo,Unique Experiences,5.0 of 5 bubbles,1,$46.59,1–2 hours
244. Private Half Day Tokyo Tour with a Local: Highlights & Hidden Gems- Custom,City Tours,5.0 of 5 bubbles,21,$127.18,4 hours
245. Half-day Kawaii Tour in Harajuku,Shopping Tours,5.0 of 5 bubbles,21,$471.32,4 hours
"246. Flower Arrangement ""Ikebana"" in YANAKA / Taito-ku / TOKYO.",Art Classes,4.5 of 5 bubbles,12,$760.19,1–2 hours
247. Kazui's Kabuki Talk,Historical Tours,5.0 of 5 bubbles,12,$137.56,1–2 hours
248. Tokyo by Night: Japanese Food and Drinks Experience,Food & Drink,5.0 of 5 bubbles,5,$202.72,3–4 hours
249. Private Tokyo Night Tour,Bus Tours,5.0 of 5 bubbles,1,$47.06,3–4 hours
"250. Mt. Fuji Area Tour Tokyo DEP: English Speaking Driver, No Guide",Bus Tours,5.0 of 5 bubbles,22,$63.71,6+ hours
251. wagyu & sake pairing experience,Food & Drink,5.0 of 5 bubbles,2,$152.04,2 hours
252. Tokyo By Night,Walking Tours,5.0 of 5 bubbles,33,"$1,266.99",2–3 hours
253. Samurai performance show,Sports Lessons,5.0 of 5 bubbles,1,$83.26,1 hour
254. EDOCCO Teahouse,Craft Classes,5.0 of 5 bubbles,16,$181.00,1 hour
255. Tokyo Full-Day Instagram Highlights Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,13,$199.10,6 hours
256. Mt.Fuji Trekking 1 Day Tour up to the summit,Full-day Tours,5.0 of 5 bubbles,1,$193.00,12–16 hours
257. Adventurous Japanese Food Tour,Unique Experiences,5.0 of 5 bubbles,14,$202.18,2 hours
258. Free Choice of Itineraries Tokyo Private Tour,Rail Tours,5.0 of 5 bubbles,1,$65.15,6+ hours
259. Authentic Pure Gold Kintsugi Workshop with Master Taku in Tokyo,Pottery Classes,5.0 of 5 bubbles,1,$101.36,2 hours
"260. Asakusa, Tokyo's #1 Family Food Tour",Food & Drink,5.0 of 5 bubbles,54,$41.99,3 hours
261. Private Customizable Walking Tour of Tokyo,Public Transportation Tours,4.0 of 5 bubbles,3,$16.09,4–8 hours
262. Private City Kickstart Tour: Tokyo,City Tours,5.0 of 5 bubbles,8,$79.64,1–2 hours
263. Japanese Calligraphy Experience with a Calligraphy Master,Art Tours,5.0 of 5 bubbles,26,$119.46,2 hours
264. Food & Drinks Bar Tour- Discover Unique Tokyo Nightlife,Food & Drink,4.5 of 5 bubbles,3,$86.03,4–5 hours
265. Japan Unlimited WiFi Router - Free Delivery to Anywhere in Japan,Rentals,5.0 of 5 bubbles,12,$25.34,3–30 days
266. Ninja 1-hour hands-on lesson in English in Tokyo,Fun & Games,5.0 of 5 bubbles,9,$5.43,1 hour
267. IKEBANA experience,Craft Classes,5.0 of 5 bubbles,2,$209.96,1–2 hours
268. Stroll through Tokyo’s Kitchen: Smells & Sights of the Tsukiji Fish Market,Food & Drink,5.0 of 5 bubbles,9,$108.60,2–3 hours
269. Tsumami-Zaiku Fabric Craft Activity,Craft Classes,5.0 of 5 bubbles,3,$200.00,2 hours
270. Family and Beginner Friendly Origami Experience in Asakusa,Craft Classes,5.0 of 5 bubbles,1,$304.08,45 minutes
271. Grand Sumo Tournament Tour in Tokyo,Historical Tours,5.0 of 5 bubbles,4,$58.64,6+ hours
272. Blade Runner Shots in Shibuya with Laurence Bouchard,Photo Shoots,5.0 of 5 bubbles,4,$94.12,2 hours
273. Tokyo Private Tours(various options),Day Trips,4.5 of 5 bubbles,3,$16.73,4–7 hours
274. Tokyo 6 hours Customized Private Tour,Public Transportation Tours,5.0 of 5 bubbles,6,$311.32,6 hours
275. Authentic Zen Experience at temple in Tokyo,Walking Tours,5.0 of 5 bubbles,29,$202.72,1–2 hours
276. Tokyo Grand Sumo Tournament Viewing Tour,Extreme Sports,5.0 of 5 bubbles,7,$36.20,5–6 hours
277. NIKKO PASS World Heritage Area,Sightseeing Passes,5.0 of 5 bubbles,1,$327.75,1–2 days
278. Nikko Full-Day Private Walking Tour with Government-Licensed Guide (Tokyo DEP.),Public Transportation Tours,5.0 of 5 bubbles,12,"$1,071.51",9–10 hours
279. Tokyo Metropolis,Architecture Tours,4.5 of 5 bubbles,2,$37.23,2–3 hours
"280. ""Nippori Fabric Town"" Walking Tour",Fashion Tours,5.0 of 5 bubbles,45,$43.44,2 hours
281. Private Tokyo Food Tour - A Journey Through Time Through Food,Public Transportation Tours,5.0 of 5 bubbles,3,$60.02,5–6 hours
282. Tokyo Private Car Tour: Professional Guide and Driver/Optional airport xfer,Bus Tours,5.0 of 5 bubbles,2,$57.92,6+ hours
283. Shared Departure Transfer : Central Tokyo Hotel to Haneda Airport,Transportation Services,5.0 of 5 bubbles,2,$78.19,1–3 hours
284. Traditional Japanese Music ZAKURO SHOW in Tokyo,Acoustic Concerts,5.0 of 5 bubbles,2,$5.79,1 hour
285. Explore the Hidden Local Bars in Shibuya - 3.5 Hours,Food & Drink,5.0 of 5 bubbles,2,$79.64,3–4 hours
286. Discover Japanese Tea Blending Techniques in Tokyo,Food & Drink,5.0 of 5 bubbles,1,$61.54,2 hours
287. Let's Shodo (Japanese calligraphy) !!,Unique Experiences,5.0 of 5 bubbles,4,$94.12,1–2 hours
"288. YANAKA home cooking experience, homely and local style.",Food & Drink,5.0 of 5 bubbles,45,$32.58,2 hours
289. Tokyo Fuji Art Museum Admission Ticket + Special Exhibition (when being held),Museums,5.0 of 5 bubbles,6,$850.00,2–3 hours
290. Understanding Japanese Culture Mythology and Lifestyle Through Study of Shinto,Unique Experiences,5.0 of 5 bubbles,1,$89.99,3 hours
"291. 3-hour Tokyo Good Old Bike Tour - Cycling to the Old towns, Asakusa & Ueno",City Tours,5.0 of 5 bubbles,4,$36.20,180–195 minutes
292. A typical evening in Shinjuku,Nightlife,5.0 of 5 bubbles,2,$21.72,3 hours
293. Tattoo-friendly open-air Onsen & drink,Onsens,5.0 of 5 bubbles,3,$185.64,1–2 hours
294. Full Day Tour in Mt Fuji and Kawaguchiko - up to 13 Travelers,Bus Tours,5.0 of 5 bubbles,20,$651.59,6+ hours
295. 3-Hour Guided Musubi Japanese Home Cooking Class,Food & Drink,4.0 of 5 bubbles,28,$195.00,2–3 hours
296. Licensed Guide Shinjuku Underground Mall Tour (Tokyo),Shopping Tours,5.0 of 5 bubbles,1,$188.24,3 hours
"297. English Stand up Comedy Show in Tokyo ""My Japanese Perspective""",Public Transportation Tours,5.0 of 5 bubbles,3,$133.94,1–2 hours
298. Private Photo shooting for Family Photos in Tokyo!,Photo Shoots,5.0 of 5 bubbles,2,$20.42,1 hour
299. Tokyo Private Day Tour by Car with English speaking Driver Guide,Shopping Tours,5.0 of 5 bubbles,1,$120.00,6+ hours
300. Kimono in Asakusa,Photo Shoots,5.0 of 5 bubbles,41,$320.00,3 hours
301. 1 Hour Travel around Tokyo with a Professional Photographer,Photo Shoots,5.0 of 5 bubbles,8,$238.19,1 hour
302. Private Tokyo Local Food and Drink Tour with a Bar Hopping Master,Food & Drink,5.0 of 5 bubbles,1,$52.79,2 hours
"303. Refreshing in Asakusa! Tile-breaking / kawara smash in Asakusa, Tokyo",Unique Experiences,5.0 of 5 bubbles,20,$123.08,30 minutes
304. LGBT Tokyo Then and Now,Food & Drink,5.0 of 5 bubbles,1,$36.20,3 hours
305. Fukushima Exclusion Zone Day Tour from Tokyo,Bus Tours,5.0 of 5 bubbles,38,$392.39,6+ hours
306. Private tour: Tokyo's Oldest Sake Brewery and riverside walk.,Spring Break,5.0 of 5 bubbles,1,$83.26,6+ hours
307. Tokyo Haneda Airport (HND) to Tokyo hotel or address - Arrival Private Transfer,Transportation Services,5.0 of 5 bubbles,11,$371.41,25 minutes
308. Sushi Making Studio mini,Food & Drink,5.0 of 5 bubbles,1,$224.44,2–3 hours
309. [30 minutes] Asakusa ancient trip plan by rickshaw ~ Tour of Tokyo Sky Tree,City Tours,5.0 of 5 bubbles,9,$108.60,30 minutes
310. Kamakura Day Trip from Tokyo with a Local: Private & Personalized,City Tours,5.0 of 5 bubbles,8,$49.96,6+ hours
311. Food Crawl Tour in Asakusa,Food & Drink,5.0 of 5 bubbles,3,$112.22,2–3 hours
312. 1-Day Kyoto Rail Tour by Bullet Train from Tokyo,Bus Tours,5.0 of 5 bubbles,6,$152.04,6+ hours
313. Hakone Full-Day Private Tour By Public Transportation,Rail Tours,5.0 of 5 bubbles,17,$48.00,6+ hours
314. Private Day Tour In Tokyo with a Native English Speaker,Rail Tours,5.0 of 5 bubbles,6,$76.02,6–7 hours
315. Sushi Nigiri Experience + Japanese Sake Drinking Set in Tokyo,Food & Drink,5.0 of 5 bubbles,6,$121.63,2 hours
316. 2hours kendo experience in Tokyo,Sports Lessons,5.0 of 5 bubbles,6,$66.21,2 hours
317. Tokyo Neon Night Tour: Say Kanpai (Cheers) in Shinjuku’s Red Light District,Food & Drink,5.0 of 5 bubbles,3,$181.00,3 hours
318. Tokyo Japanese Garden Lover's Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0 of 5 bubbles,1,$334.84,6 hours
319. Private Half-Day Tour Colorful and Busy Street in Central Tokyo,Shopping Tours,5.0 of 5 bubbles,2,$279.91,4 hours
320. Harajuku Kawaii Fashion & Pop-culture Tour,Fashion Shows,5.0 of 5 bubbles,2,"$1,049.79",3 hours
321. Vegetarian Ramen and Gyoza!,Food & Drink,5.0 of 5 bubbles,1,$289.60,3 hours
322. Best of Tokyo's Shopping & Food: Japanese Traditions Experience,Food & Drink,5.0 of 5 bubbles,1,$252.67,3 hours
"323. Cherry Blossom highlights, Asakusa, Ueno, Imperial Palace Garden",Rail Tours,5.0 of 5 bubbles,2,$170.14,7–8 hours
324. Private Custom Day In Tokyo: Secrets and Highlights with a Local Guide,City Tours,5.0 of 5 bubbles,2,$54.30,6+ hours
"325. Tokyo Family Tour with a Local Guide, Private & Tailored to You",City Tours,5.0 of 5 bubbles,1,$72.40,4 hours
326. Private Custom Tokyo Tour VIP,Bus Tours,5.0 of 5 bubbles,2,$669.70,6 hours
327. Hakone Full-Day Private Tour(Tokyo DEP.) with Government-Licensed Guide,Cable Car Tours,5.0 of 5 bubbles,1,$202.72,6+ hours
328. Ikebukuro Food Tour With Master Guide Family Friendly Experience,Food & Drink,5.0 of 5 bubbles,2,$231.68,4 hours
"329. Hakone Private One Day Tour From Tokyo: Mt Fuji, Lake Ashi, Hakone National Park",Bus Tours,5.0 of 5 bubbles,4,$173.76,6+ hours
330. One Day Highlights Tour of Tokyo including Shibuya Sky Tickets,City Tours,5.0 of 5 bubbles,1,$673.32,6+ hours
331. Discover the wonders of Edo Tokyo on this amazing small group tour!,Historical Tours,5.0 of 5 bubbles,2,$543.00,4 hours
332. Old Town Tokyo: Shinagawa-Juku Walking Tour,Historical Tours,5.0 of 5 bubbles,1,$185.00,3 hours
333. Tokyo Private Tour,Bus Tours,5.0 of 5 bubbles,1,$152.04,6+ hours
334. 8-hour Tokyo tour by qualified tour guide using public transport,Full-day Tours,5.0 of 5 bubbles,1,$463.36,6+ hours
335. Nikko Private Tour by public transportation,Historical Tours,5.0 of 5 bubbles,1,$558.20,6+ hours
336. Tokyo Custom Full Day Tour,Public Transportation Tours,5.0 of 5 bubbles,1,$201.43,6+ hours
337. Mount Fuji Highlights Full Day Private Trip from Tokyo,Historical Tours,5.0 of 5 bubbles,1,$170.86,8–10 hours
338. Mount Fuji & Hokane Lakes with English-speaking Guide,4WD Tours,5.0 of 5 bubbles,1,$575.58,8–10 hours
339. Harajuku Private Family Friendly Food Tour Tailored To Your Taste,Food & Drink,4.0 of 5 bubbles,1,$616.12,4 hours
340. Tokyo Shopping Street Hopping Private Tour with Government Licensed Guide,Public Transportation Tours,3.5 of 5 bubbles,3,$99.55,6 hours
341. 1 Day Tokyo Private Tour with English Speaking Guide,Full-day Tours,3.5 of 5 bubbles,2,$120.00,8–9 hours
342. Tokyo Layover 5 Hours Private Tour,Bus Tours,3.5 of 5 bubbles,2,$313.91,5 hours
"343. Tokyo Sake Tour with a Local Guide, Private & Tailored to Your Taste",Food & Drink,2.5 of 5 bubbles,12,$119.46,3 hours
344. Mt Fuji and Hakone 1 Day Bus Tour from Tokyo,Audio Guides,3.0 of 5 bubbles,1,$28.96,6+ hours
345. Private Tour Kamakura and Enoshima With English Speaking Guide,Bus Tours,3.0 of 5 bubbles,1,$28.96,6+ hours
346. Cherry Blossom Private Tour,Bus Tours,2.0 of 5 bubbles,1,$165.00,3–5 hours
347. Tokyo Custom Half Day Tour,Public Transportation Tours,1.0 of 5 bubbles,1,$104.98,4 hours
348. Tokyo Sumo Morning Practice Tour with Audio Guide,Historical Tours,1.0 of 5 bubbles,1,$550.00,2 hours
349. Tokyo's Unique & Unusual Tour with a Local: 100% Personalized & Private,City Tours,1.0 of 5 bubbles,1,$83.26,4 hours
350. Ultimate One-day Tokyo Must-sees Tour with Photographer,Food & Drink,1.0 of 5 bubbles,1,$106.34,7–8 hours
351. Discovering Shibuya,Historical Tours,5.0 of 5 bubbles,26,$57.92,2 hours
352. Licensed Guide Shinjuku Dramatic Tour (Tokyo),Historical Tours,5.0 of 5 bubbles,21,$133.94,2 hours
353. Tokyo City Private Departure Transfers to Yokohama Port,Transportation Services,5.0 of 5 bubbles,12,$95.57,1 hour
354. [Tokyo Skytree Town] Sumo Wrestler's Morning Practice Tour,Likely To Sell Out,5.0 of 5 bubbles,29,$94.12,2 hours
355. Tokyo to Kyoto 1-Full Day Private Guided Tour,Historical Tours,4.5 of 5 bubbles,13,$115.84,6+ hours
356. [70 minutes] A relaxing plan to enjoy Asakusa with a rickshaw. We also accept requests.,City Tours,5.0 of 5 bubbles,15,$159.28,1–2 hours
357. Tokyo DisneyLand Private Transfer : from Tokyo to DisneyLand (One Way),Transportation Services,5.0 of 5 bubbles,7,$94.12,50–70 minutes
358. Half-Day Local Cycling Tour on a High-end Cross Bike in Tokyo,Historical Tours,5.0 of 5 bubbles,14,$58.64,5 hours
359. Mt. Fuji & Hakone Bullet Train 1 Day Tour From Tokyo Station Area,Historical Tours,5.0 of 5 bubbles,11,$57.08,6+ hours
360. Samurai Experience in Tokyo / SAMURAI've,Sports Lessons,5.0 of 5 bubbles,14,$108.60,1 hour
361. Discover Tokyo with your Own Personal Photographer,Photo Shoots,5.0 of 5 bubbles,5,$333.04,4 hours
362. Meet and Greet in Haneda Airport,Transportation Services,5.0 of 5 bubbles,3,$104.98,2 hours
363. Tokyo private transfer for Haneda Airport (HND) - Toyota HIACE 9 seats,Transportation Services,5.0 of 5 bubbles,7,$289.60,30–60 minutes
"364. [Complete Series] Complete Tokyo City in 1 Day, See All 15 Sight!",Historical Tours,5.0 of 5 bubbles,5,$72.40,6+ hours
365. Learn How to Make Beautiful and Delicious Wagashi Sweets in Tokyo,Craft Classes,5.0 of 5 bubbles,9,$179.46,1–2 hours
366. Japanese fermented food class,Food & Drink,4.5 of 5 bubbles,9,$144.80,3–4 hours
367. Mt Fuji and Ashinoko with Hakone Sightseeing Cruise 1 Day Tour,Bus Tours,5.0 of 5 bubbles,2,$549.35,6+ hours
368. Private Asakusa and Ryogoku Walking Tour with Sumo Wrestler,City Tours,5.0 of 5 bubbles,4,$231.68,2–3 hours
369. Mt. Fuji & Hakone 1 Day Tour From Tokyo (Return by bullet train in option）,Audio Guides,5.0 of 5 bubbles,3,$86.01,6+ hours
370. Mt. Fuji Five Lakes Area Private Day Trip with Licensed Guide (Tokyo Dept),Public Transportation Tours,5.0 of 5 bubbles,3,$86.88,6+ hours
371. Mochi Making at a Private Home in Tokyo,Food & Drink,5.0 of 5 bubbles,3,$181.00,2–3 hours
372. Experience Izakaya With A Mini Food Tour Of Tokyo,Food & Drink,5.0 of 5 bubbles,3,$144.80,3 hours
373. Private Half-Day Grand Bike Tour in Tokyo,Historical Tours,5.0 of 5 bubbles,3,"$9,556.73",5–6 hours
374. Mount Fuji Day Trip from Tokyo with a Local: Private & Personalized,City Tours,5.0 of 5 bubbles,2,$86.88,6+ hours
375. Private Full-Day Tokyo Tour Including 5 Popular Spots,Historical Tours,5.0 of 5 bubbles,2,$72.40,6+ hours
376. 7 Kinds of Japanese Tea Tasting Experience,Food & Drink,5.0 of 5 bubbles,2,$99.91,1–2 hours
377. Mt. Fuji Flower Festival Tour with Ropeway Experience from Tokyo,Full-day Tours,5.0 of 5 bubbles,2,$219.74,6+ hours
378. Tuna auction at Toyosu Market with qualified guide and early morning tour of Tsukiji Outer Market,Food & Drink,5.0 of 5 bubbles,1,$121.63,3 hours
379. Private Asakusa Sightseeing and Tsukiji Food Tour,Food & Drink,5.0 of 5 bubbles,2,$92.82,6 hours
380. Private Haneda International Airport Transfers(HND) for Tokyo 23,Transportation Services,4.5 of 5 bubbles,2,$86.88,30 minutes
"381. From Tokyo: Nikko Toshogu Shrine, Kegon waterfall and Lake Chuzenji",Historical Tours,5.0 of 5 bubbles,1,$54.30,6+ hours
"382. [Complete Series] Complete Tokyo City in 1 Day, See All 10 Sight!",Rail Tours,4.0 of 5 bubbles,6,$74.44,6+ hours
"383. Mt. Fuji 5th Station, Owakudani Ropeway, Pirate Ship plus Outlet shopping!",Full-day Tours,5.0 of 5 bubbles,1,$57.92,6+ hours
384. Shinjuku Bar Hopping Night Tour (Where Locals always go) in tokyo,Food & Drink,5.0 of 5 bubbles,1,$72.40,3–4 hours
385. Shore Excursion: Day Trip To Tokyo From Yokohama Port,Shore Excursions,5.0 of 5 bubbles,1,$62.08,6+ hours
386. Tokyo Tea Ceremony Experience,Food & Drink,5.0 of 5 bubbles,1,$115.84,1 hour
387. Ramen Making with a Chef,Food & Drink,5.0 of 5 bubbles,1,$97.99,2–3 hours
388. guided japanesefood tour in shibuya(tokyo),Food & Drink,5.0 of 5 bubbles,1,$527.54,2–3 hours
389. 【NEW!】Cooking Class in ASAKUSA! Making Sushi!,Food & Drink,5.0 of 5 bubbles,1,$28.96,2 hours
390. Make your own BONSAI with a professional artist in Tokyo,Rail Tours,5.0 of 5 bubbles,1,$31.86,2 hours
391. Shared Departure Transfer : Central Tokyo Hotel to Narita International Airport,Transportation Services,3.0 of 5 bubbles,2,$281.18,1–3 hours
392. Minato-ku Tokyo Night Touring,Adventure Tours,1.0 of 5 bubbles,1,$181.00,2–3 hours
393. Private Akihabara Walking Tour with Otaku and Photography,Street Art Tour,5.0 of 5 bubbles,144,$21.72,150–180 minutes
394. Experience Japanese Pottery in Omotesando,Pottery Classes,5.0 of 5 bubbles,33,$173.76,1 hour
395. 6-Hour-Tour Tokyo Highlights,Public Transportation Tours,5.0 of 5 bubbles,36,$115.84,6 hours
396. Meiji Jingu Shrine Half-day Tour by public transportation,Fashion Tours,5.0 of 5 bubbles,28,$209.96,5 hours
397. Private Tokyo Custom Half-Day Tour by Chartered Vehicle,Bus Tours,5.0 of 5 bubbles,21,$202.72,4 hours
398. Licensed Guide Shinjuku Dramatic Tour Day Time (Tokyo),Historical Tours,5.0 of 5 bubbles,25,$70.08,2 hours
399. Admission to Hedgehog Cafe in Harajuku,Nature and Wildlife Tours,5.0 of 5 bubbles,31,$28.08,1 hour
400. Exciting Hakone - One Day Tour from Tokyo,Rail Tours,5.0 of 5 bubbles,17,$92.67,6+ hours
"401. Tokyo Highlights, Imperial Palace, Kiyosumi Garden, Ukiyo-e Museum",Rail Tours,5.0 of 5 bubbles,24,$59.37,6–7 hours
402. Discovering Asakusa,Historical Tours,5.0 of 5 bubbles,13,$115.84,2 hours
403. Photoshoot Tour with a Professional Photographer in Tokyo,Adventure Tours,5.0 of 5 bubbles,2,$293.46,1–2 hours
404. Tuna Auction and Tokyo Toyosu Fish Market Tour,Audio Guides,5.0 of 5 bubbles,12,$193.58,4–5 hours
405. Introductory Tokyo Tour for the first timers: learn basic Travel tips and tricks,Public Transportation Tours,5.0 of 5 bubbles,10,$130.32,4 hours
406. Full-Day Kamakura Tour from Tokyo Viewing a Variety of Flowers at Hase Temple,Historical Tours,5.0 of 5 bubbles,14,$800.00,6+ hours
407. Yukata Dressing Workshop,Photo Shoots,5.0 of 5 bubbles,12,$289.60,1–2 hours
408. Private Transfer from Tokyo Haneda Airport (HND) to Yokohama Port,Transportation Services,5.0 of 5 bubbles,16,$600.00,30 minutes
409. Experience wearing samurai armor,Fun & Games,5.0 of 5 bubbles,11,$296.84,1 hour
410. Japanese SAKE lesson & tasting at Izakaya pub,Food & Drink,5.0 of 5 bubbles,10,"$1,194.59",2 hours
411. Nikko World Heritage 1 Day Tour,Bus Tours,5.0 of 5 bubbles,9,$74.44,6+ hours
412. Tokyo Disneyland or DisneySea Private Return Transfer - English Speaking Driver,Transportation Services,5.0 of 5 bubbles,8,$27.51,1–2 hours
"413. Full-Day Guided Private Tour in Tokyo, Japan",Historical Tours,5.0 of 5 bubbles,1,$130.80,6–8 hours
"414. Tokyo History Tour with a Local Guide, Private & Tailored to Your Interests",Historical Tours,4.0 of 5 bubbles,4,$98.20,3 hours
415. Sumo Morning Training Watch,Martial Arts Classes,5.0 of 5 bubbles,7,$75.00,3 hours
416. Private Mount Fuji Tour - up to 9 Travelers,Full-day Tours,5.0 of 5 bubbles,6,$477.11,6+ hours
417. Tokyo private transfer for Yokohama Port - Toyota HIACE 9 seats,Transportation Services,5.0 of 5 bubbles,7,$66.83,30–60 minutes
418. Tokyo City Tour with Daily Chauffeur,Full-day Tours,5.0 of 5 bubbles,5,$103.53,6+ hours
419. Private Full Day Mount Fuji Tour from Tokyo Including 3 View Spots,Full-day Tours,5.0 of 5 bubbles,5,$65.16,6+ hours
420. Snow Monkey&Karuizawa Outlet from/to Tokyo and TDR,Full-day Tours,5.0 of 5 bubbles,4,$188.24,13–14 hours
421. Yokohama Port Shared Transfer : from Haneda Airport to Yokohama Port,Transportation Services,5.0 of 5 bubbles,5,"$1,303.19",1–2 hours
422. Samurai Show Restaurant at Kanda Myoujin『THE SHOW』,Food & Drink,5.0 of 5 bubbles,5,$107.88,2–3 hours
423. Explore The Creative Koenji Neighborhood,City Tours,4.5 of 5 bubbles,11,$189.66,3 hours
424. Yokohama Port Shared Transfer : from Tokyo Hotels to Yokohama Port,Transportation Services,5.0 of 5 bubbles,4,$130.32,2 hours
"425. Sumo Morning Practice Tour in Tokyo, Sumida city",City Tours,5.0 of 5 bubbles,2,$275.12,2 hours
426. Private Full-Day Kamakura-Enoshima Tour with Bilingual driver,Bus Tours,5.0 of 5 bubbles,4,$119.29,6+ hours
"427. Traditional dance experience in Asakusa, a traditional Tokyo town",Walking Tours,5.0 of 5 bubbles,1,$131.42,2 hours
428. 7 Kinds of Sake Tasting with Complementary Foods,Food & Drink,5.0 of 5 bubbles,3,$238.92,1–2 hours
429. Japanese Traditional Cooking Class,Food & Drink,5.0 of 5 bubbles,3,$39.31,3 hours
430. Drive like KING! Can-am Ryker cruising in Shinjuku **IDP must**,Adventure Tours,5.0 of 5 bubbles,1,"$18,534.27",1 hour
431. 2 Day Mount Fuji and Tokyo Tour by Private Car or Wagon,Bus Tours,5.0 of 5 bubbles,3,$592.89,2 days
432. Cultural Private Geisha Transformation with Certified Tokyo Geisha,Unique Experiences,5.0 of 5 bubbles,3,$490.00,2 hours
433. Day Trip To Historic Kawagoe From Tokyo,City Tours,5.0 of 5 bubbles,3,$21.72,6 hours
434. Birthday celebration surprise with balloon decoration!,Fun & Games,5.0 of 5 bubbles,1,$101.94,30 minutes
435. Private Transfer to/from Tokyo Narita International Airport (NRT),Transportation Services,3.0 of 5 bubbles,1,$106.10,30–120 minutes
436. Tokyo Private Tour to Learn History and Shinto,Historical Tours,4.5 of 5 bubbles,3,$126.70,6 hours
437. Highlights & Hidden Gems of Shibuya & Harajuku: Private City Tour,Architecture Tours,5.0 of 5 bubbles,2,$397.47,3 hours
438. Tokyo City Private Tour by Subway,Full-day Tours,5.0 of 5 bubbles,2,$27.51,6+ hours
439. Private Transfer from Tokyo Cruise Port to Tokyo City Hotels,Transportation Services,5.0 of 5 bubbles,1,$126.70,45 minutes
440. Private Narita International Airport (NRT) Transfers for Tokyo 23 Wards（7Seater）,Transportation Services,5.0 of 5 bubbles,2,$39.31,60–90 minutes
441. Kamakura 1 day Private Car/Wagon Tour from Tokyo with “English Speaking Driver”,Bus Tours,5.0 of 5 bubbles,1,$800.00,1–10 hours
442. Classic Mount Fuji One-day Tour with Daily Chauffeur,Full-day Tours,5.0 of 5 bubbles,2,$28.08,6+ hours
443. Ueno Food Tour With A Local Master Guide Fully Customized,Food & Drink,5.0 of 5 bubbles,2,$181.00,4 hours
444. Kawaii walk in Harajuku,Shopping Tours,5.0 of 5 bubbles,2,"$18,534.27",1–2 hours
445. All-You-Can-Drink Takoyaki Dinner Party with Local people,Food & Drink,5.0 of 5 bubbles,2,$165.00,2 hours
446. Private One-way Narita Airport Transfer To/From Tokyo,Transportation Services,5.0 of 5 bubbles,2,$7.24,1 hour
447. Samurai & Ninja experience! !,Sports Lessons,5.0 of 5 bubbles,2,$313.91,1 hour
448. Private Mount Takao Hiking Tour from Tokyo,Likely To Sell Out,5.0 of 5 bubbles,2,$92.82,6 hours
449. Hakone Private Two Day Tour from Tokyo with Overnight Stay in Ryokan,Multi-day Tours,5.0 of 5 bubbles,2,$189.66,2 days
450. Private Tokyo Tour of the Sunshine Aquarium and 823ft Observatory,Night Tours,5.0 of 5 bubbles,1,$253.40,3 hours
